,Name,Scopus ID,Coauthors
104,Jon Stoessl,7004896118,"{'Martin McKeown': 1, 'Vesna Sossi': 1, 'Silke Cresswell': 1, 'Lara Boyd': 1, 'Catharine Winstanley': 1, 'Luke Clark': 1, 'Judy Illes': 1, 'Carles Vilarino-Guell': 1, 'Ian Mackenzie': 1, 'Robin Hsiung': 1, 'Anthony Phillips': 1, 'Lakshmi Yatham': 1, 'Raymond Lam': 1, 'Doris Doudet': 1, 'Terry Snutch': 1, 'David Li': 1}"
105,Robert Stowe,7005605583,"{'Todd Woodward': 1, 'Silke Cresswell': 1, 'Ian Mackenzie': 1}"
106,Sriram Subramaniam,7102872243,{}
107,Roger Tam,7006808600,"{'Teresa Liu-Ambrose': 1, 'Robin Hsiung': 1, 'Alexander Rauscher': 1, 'Vesna Sossi': 1, 'Shannon Kolind': 1, 'Cornelia Laule': 1, 'Piotr Kozlowski': 1, 'John Kramer': 1, 'Cheryl Wellington': 1, 'Jacqueline Quandt': 1, 'Thalia Field': 1, 'Lara Boyd': 1, 'Neil Cashman': 1, 'Joel Oger': 1, 'David Li': 1}"
108,Wolfram Tetzlaff,7006262846,"{'John Kramer': 1, 'Freda Miller': 1, 'Jane Roskams': 1, 'Brett Hilton': 1, 'Piotr Kozlowski': 1, 'Christopher West': 1, 'Peter Cripton': 1, 'Cheryl Wellington': 1, 'Max Cynader': 1, 'Tim Murphy': 1, 'Judy Illes': 1, 'Joel Oger': 1, 'Charles Krieger': 1, 'Blair Leavitt': 1}"
109,Rebecca Todd,15835979600,"{'Trisha Chakrabarty': 1, 'Luke Clark': 1, 'Stan Floresco': 1, 'Fidel Vila-Rodriguez': 1, 'Sophia Frangou': 1, 'Noah Silverberg': 1, 'Daniela Palombo': 1}"
110,Tony Traboulsee,6506375023,"{'Joel Oger': 1, 'Helen Tremlett': 1, 'Cornelia Laule': 1, 'Shannon Kolind': 1, 'David Li': 1}"
111,Helen Tremlett,6603148038,"{'Jacqueline Quandt': 1, 'Joel Oger': 1, 'Cornelia Laule': 1, 'Robin Hsiung': 1, 'Neil Cashman': 1, 'Silke Cresswell': 1, 'Tony Traboulsee': 1}"
112,Tamara Vanderwal,24177629100,"{'Fidel Vila-Rodriguez': 1, 'Alexander Weber': 1, 'Todd Woodward': 1}"
113,Paul van Donkelaar,56265931000,"{'Shelina Babul': 1, 'Judy Illes': 1, 'Lara Boyd': 1, 'Alexander Rauscher': 1, 'Shannon Kolind': 1}"
114,Victor Viau,6701641675,"{'Brian MacVicar': 1, 'Stan Floresco': 1, 'Liisa Galea': 1}"
115,Daniel Vigo,26538354800,"{'Lakshmi Yatham': 1, 'Raymond Lam': 1, 'Fidel Vila-Rodriguez': 1, 'Trisha Chakrabarty': 1, 'Kamyar Keramatian': 1}"
116,Carles Vilarino-Guell,55901182300,"{'Cornelia Laule': 1, 'Jacqueline Quandt': 1, 'Weihong Song': 1, 'Haakon Nygaard': 1, 'Silke Cresswell': 1, 'Martin McKeown': 1, 'Jon Stoessl': 1, 'Vesna Sossi': 1}"
